timestamp,total_gen_mw,total_emissions_kg,carbon_intensity
2019-02-11,102095.875,1000569640.0,407.7480279134648
2019-02-12,103100.20833333333,980295320.0,395.4670496003262
2019-02-13,103670.0,967899540.0,388.3291818569524
2019-02-14,98338.79166666667,852652240.0,360.8146887438436
2019-02-15,94017.33333333333,822331420.0,363.3025385490849
2019-02-16,91221.625,826321820.0,376.5730402993986
2019-02-17,93389.54166666667,859887180.0,382.75064576991105
2019-02-18,99238.08333333333,988974640.0,414.05551739577794
2019-02-19,103747.58333333333,1071050600.0,429.7495817159072
2019-02-20,104216.16666666667,1018312320.0,406.3199917359912
2019-02-21,96256.41666666667,935655760.0,404.39190692789265
2019-02-22,93712.54166666667,885103480.0,392.83921490557736
2019-02-23,92086.83333333333,823491340.0,371.6797314345475
2019-02-24,88472.95833333333,765785900.0,359.7844916936095
2019-02-25,100569.04166666667,961942340.0,397.4629524290076
2019-02-26,99434.75,955553700.0,399.94923678109785
2019-02-27,100854.75,999734260.0,412.6762654122585
2019-02-28,98581.25,984605140.0,415.7261306571026
2019-03-01,100343.45833333333,1013853920.0,420.4157204015831
2019-03-02,93110.5,934606120.0,418.0987068498046
2019-03-03,94008.875,947404380.0,419.48238569810337
2019-03-04,107180.625,1151990420.0,446.72098263779657
2019-03-05,112223.08333333333,1235214860.0,458.5377192650481
2019-03-06,113952.54166666667,1265210380.0,462.5668494105737
2019-03-07,108325.54166666667,1222491660.0,470.09982256545396
2019-03-08,102563.45833333333,1126843300.0,457.457191561756
2019-03-09,91794.0,867717460.0,393.67579845934785
2019-03-10,86188.21739130435,735243480.0,370.4953971568601
2019-03-11,76986.69565217392,684789260.0,385.1007178784507
2019-03-12,91911.20833333333,897307240.0,406.16878261288895
2019-03-13,91363.875,854135300.0,388.72797571877254
2019-03-14,85405.58333333333,731439040.0,356.20610113414756
2019-03-15,85222.45833333333,715802680.0,348.5266782028012
2019-03-16,82190.20833333333,716714460.0,362.12811846921414
2019-03-17,84253.25,773608980.0,382.1732035951345
2019-03-18,92420.375,923603340.0,415.84727786951913
2019-03-19,91453.16666666667,912140480.0,415.1569035026711
2019-03-20,90619.45833333333,859709980.0,394.8657969409233
2019-03-21,90112.08333333333,853960900.0,393.6099171658664
2019-03-22,89448.41666666667,796382900.0,370.0955971113261
2019-03-23,84752.66666666667,777714960.0,381.9133693061098
2019-03-24,80563.875,727721460.0,376.09232944845826
2019-03-25,87267.79166666667,809424400.0,384.6373994560917
2019-03-26,89843.625,878228300.0,406.2453815252902
2019-03-27,91186.16666666667,882016380.0,402.44090141042585
2019-03-28,87780.5,832062860.0,394.6630094192637
2019-03-29,85109.125,842489900.0,411.1535957490941
2019-03-30,77019.75,677082600.0,366.1456066265095
2019-03-31,79578.875,705854960.0,367.8369519474092
2019-04-01,91502.375,890996340.0,405.26190272831246
2019-04-02,92531.625,899085500.0,404.69265983626906
2019-04-03,87923.33333333333,837094400.0,396.5222807291643
2019-04-04,85661.29166666667,773901900.0,375.978517306706
2019-04-05,85066.66666666667,820375600.0,400.6303222269992
2019-04-06,75436.33333333333,694460820.0,383.47495198104133
2019-04-07,73728.75,631402520.0,356.15559833488237
2019-04-08,80129.41666666667,736768380.0,380.83458103795823
2019-04-09,80794.20833333333,742341540.0,380.815809432839
2019-04-10,81638.04166666667,728388780.0,370.79644761726325
2019-04-11,83713.70833333333,724893900.0,360.04318166173147
2019-04-12,81913.91666666667,697701020.0,354.2109048996292
2019-04-13,76055.79166666667,673112560.0,367.9671910119382
2019-04-14,78101.70833333333,634066040.0,336.70471645939824
2019-04-15,82444.91666666667,727521980.0,366.5141893201713
2019-04-16,82339.54166666667,721008040.0,363.9757777515293
2019-04-17,81302.45833333333,725993220.0,370.5352886881388
2019-04-18,80486.33333333333,687707380.0,354.15282464709134
2019-04-19,78841.95833333333,637686420.0,335.55496839335433
2019-04-20,75510.5,598276100.0,329.23478242688583
2019-04-21,70728.79166666667,564170380.0,332.2401866153762
2019-04-22,79764.79166666667,665562040.0,344.9728757161624
2019-04-23,81590.75,685247660.0,347.61416005801635
2019-04-24,80715.41666666667,693017960.0,356.30731237305105
2019-04-25,80916.20833333333,697020780.0,357.77321806219976
2019-04-26,81165.20833333333,614600700.0,314.66430833806277
2019-04-27,75278.08333333333,597834640.0,330.77208278637875
2019-04-28,75019.0,600887480.0,332.3735064698316
2019-04-29,81935.95833333333,701410600.0,354.8713271524502
2019-04-30,85414.54166666667,763870220.0,371.3332761454839
2019-05-01,85107.79166666667,767691300.0,373.8642708755142
2019-05-02,87263.75,836200480.0,397.3530827088621
2019-05-03,85574.04166666667,822030540.0,399.2053710049128
2019-05-04,78893.45833333333,745190100.0,392.7750145018046
2019-05-05,74969.83333333333,660894780.0,366.26786187947636
2019-05-06,81456.79166666667,726872020.0,368.879542415874
2019-05-07,83694.20833333333,734477600.0,363.6564949210737
2019-05-08,84632.41666666667,718914540.0,352.06193572594333
2019-05-09,84687.16666666667,742238880.0,362.88361058837785
2019-05-10,84200.875,767482260.0,378.0401770289273
2019-05-11,75401.0,618639180.0,341.357162683136
2019-05-12,74783.70833333333,627330580.0,347.8999550767805
2019-05-13,82320.58333333333,726090800.0,365.183626121975
2019-05-14,82725.29166666667,734416920.0,368.2159889616709
2019-05-15,82725.70833333333,738987420.0,370.901630412277
2019-05-16,85272.83333333333,726272240.0,352.9203535424079
2019-05-17,85635.375,744912600.0,359.82929628465126
2019-05-18,82507.66666666667,702032500.0,351.98194350935
2019-05-19,85668.75,715170100.0,343.3902650928835
2019-05-20,93114.83333333333,828457140.0,367.0449378223843
2019-05-21,86076.20833333333,706308240.0,341.0410510433366
2019-05-22,88116.29166666667,750227840.0,351.7442669090283
2019-05-23,92571.16666666667,816675640.0,363.62370088349417
2019-05-24,92570.875,827025960.0,369.74755009913946
2019-05-25,86603.66666666667,739046220.0,352.0927746492562
2019-05-26,86649.41666666667,766134020.0,363.95489658065526
2019-05-27,86154.5,766934040.0,367.7025079946189
2019-05-28,97901.79166666667,921819260.0,387.2027632885709
2019-05-29,100090.79166666667,967207480.0,399.9736772880715
2019-05-30,98307.16666666667,921021080.0,388.54532002808827
2019-05-31,97362.0,880837500.0,375.2946155694615
2019-06-01,88278.66666666667,766220260.0,359.90554984452416
2019-06-02,84756.04166666667,728435660.0,356.1914667122018
2019-06-03,85875.83333333333,742410600.0,357.71232678673033
2019-06-04,87644.5,765848500.0,361.6952812949027
2019-06-05,94927.625,867602180.0,376.14552613121305
2019-06-06,99866.41666666667,957487940.0,395.90381473788347
2019-06-07,95640.125,876047780.0,379.9488780199872
2019-06-08,87909.66666666667,741182780.0,349.2164103562829
2019-06-09,84408.70833333333,715408800.0,350.0886824926028
2019-06-10,92103.91666666667,779895720.0,350.0557362986795
2019-06-11,89903.79166666667,776564820.0,357.38407163663186
2019-06-12,87241.41666666667,725128240.0,344.13996720670167
2019-06-13,87938.58333333333,715883200.0,337.1465774929884
2019-06-14,84918.95833333333,656626560.0,321.0154083867164
2019-06-15,82045.79166666667,634379940.0,319.0962166339912
2019-06-16,81473.58333333333,641444080.0,327.15237683938307
2019-06-17,99275.0,947157960.0,392.5182052908108
2019-06-18,102062.16666666667,1017228220.0,411.84083142945747
2019-06-19,103598.54166666667,1032669520.0,412.7749380955203
2019-06-20,102036.91666666667,965981300.0,392.30240862287445
2019-06-21,96859.875,873923140.0,374.0067749827394
2019-06-22,89155.875,755626620.0,350.1918520235369
2019-06-23,89764.16666666667,773871160.0,354.20749901884136
2019-06-24,103144.875,953317760.0,379.9537285911704
2019-06-25,107628.875,1015378540.0,388.6772337096077
2019-06-26,111759.41666666667,1135129040.0,417.37574541664844
2019-06-27,114573.29166666667,1195600740.0,429.80053556768826
2019-06-28,114618.375,1179276020.0,424.7424993020604
2019-06-29,111674.0,1136397260.0,419.5988920188559
2019-06-30,105456.375,1041908760.0,408.5912405160033
2019-07-01,109993.79166666667,1099458360.0,411.09156650282944
2019-07-02,116564.5,1179926200.0,416.7701186765089
2019-07-03,115287.20833333333,1180742600.0,423.32598887008476
2019-07-04,107597.33333333333,1087175200.0,417.45479155939705
2019-07-05,113048.66666666667,1152521100.0,420.8651731965724
2019-07-06,109952.875,1116470840.0,420.27923515755083
