timestamp,Net Generation (MW) from Coal,Net Generation (MW) from Natural Gas,Net Generation (MW) from All Petroleum Products,Net Generation (MW) from Nuclear,Net Generation (MW) from Hydropower and Pumped Storage,Net Generation (MW) from Solar,Net Generation (MW) from Wind,Net Generation (MW) from Other Fuel Sources
2019-07-07,27138.17261904762,44979.89880952381,231.45833333333334,33652.23809523809,2032.1607142857142,371.3511904761905,1019.6785714285714,1396.7380952380952
2019-07-14,28531.035714285714,45001.02380952381,212.5952380952381,33661.90476190476,2108.0833333333335,381.5357142857143,1111.6011904761904,1396.3035714285713
2019-07-21,34190.57738095238,49245.47023809524,580.4166666666666,33187.06547619047,2054.190476190476,438.8511904761905,1879.8214285714287,1958.767857142857
2019-07-28,25885.47619047619,41801.494047619046,305.5833333333333,32635.875,1972.857142857143,382.67857142857144,1642.4404761904761,1455.2857142857142
2019-08-04,25698.910714285714,48542.27976190476,423.82738095238096,32159.720238095237,1875.5,359.38690476190476,838.3095238095239,1690.9107142857142
2019-08-11,24915.803571428572,43963.95238095238,592.9761904761905,32838.755952380954,1646.0892857142858,363.2202380952381,1050.5059523809523,1478.6845238095239
2019-08-18,26933.20238095238,44953.541666666664,238.32738095238096,33068.75,1603.857142857143,295.61309523809524,857.6666666666666,1546.625
2019-08-25,24719.89880952381,42017.875,326.48809523809524,33483.625,1507.8630952380952,319.1011904761905,1288.6369047619048,1471.9464285714287
2019-09-01,18925.98214285714,37224.83928571428,224.7202380952381,32893.375,1394.845238095238,362.14285714285717,2208.0476190476193,1189.107142857143
2019-09-08,20444.20238095238,36524.505952380954,244.39880952380952,33181.994047619046,1490.2440476190477,266.3511904761905,1329.702380952381,1371.8630952380952
2019-09-15,24254.339285714286,39796.77380952381,282.9761904761905,31731.005952380954,1368.4345238095239,290.9166666666667,2097.3809523809523,1571.482142857143
2019-09-22,22258.303571428572,37039.392857142855,96.875,31794.005952380954,1124.392857142857,381.5654761904762,1663.029761904762,1304.142857142857
2019-09-29,21414.839285714286,35953.86309523809,95.9047619047619,30015.875,1031.607142857143,369.1309523809524,2344.684523809524,1703.892857142857
2019-10-06,21107.01785714286,35220.77976190476,148.67857142857142,30679.196428571428,1052.9642857142858,272.57738095238096,2560.9940476190477,1860.1190476190477
2019-10-13,14629.25,30805.440476190477,44.482142857142854,29864.041666666668,955.0238095238095,245.92261904761904,2652.8273809523807,1330.0416666666667
2019-10-20,13846.630952380952,31140.714285714286,43.17261904761905,28583.553571428572,1001.4464285714286,274.98809523809524,2768.720238095238,1312.5416666666667
2019-10-27,13918.309523809523,28595.375,57.125,27475.369047619046,1216.3154761904761,240.4702380952381,3742.3630952380954,1616.1666666666667
2019-11-03,17684.77380952381,30092.166666666668,48.36904761904762,27352.196428571428,1680.7083333333333,251.03571428571428,2984.3214285714284,1307.0416666666667
2019-11-10,22254.059523809523,29310.82738095238,57.93452380952381,28680.75,1679.8869047619048,277.11309523809524,2893.7619047619046,1065.654761904762
2019-11-17,26356.14285714286,32554.244047619046,82.99404761904762,30020.630952380954,1547.7559523809523,154.69642857142858,2683.1309523809523,1128.4285714285713
2019-11-24,21127.119047619046,30673.285714285714,106.33333333333333,31773.470238095237,1336.0535714285713,157.10119047619048,2714.0416666666665,1093.8869047619048
2019-12-01,16878.488095238095,29641.083333333332,60.42857142857143,33185.57738095238,1354.5535714285713,180.49404761904762,3539.8809523809523,897.1369047619048
2019-12-08,20708.113095238095,34264.19642857143,77.79761904761905,33924.97619047619,1662.0059523809523,204.16071428571428,3890.6130952380954,788.5892857142857
2019-12-15,20255.32738095238,35393.98809523809,180.76785714285714,33563.54761904762,1778.2559523809523,115.41666666666667,3844.7083333333335,892.4583333333334
2019-12-22,24734.029761904763,37242.47023809524,205.79761904761904,33939.40476190476,2026.1190476190477,201.33928571428572,2962.0833333333335,1064.547619047619
2019-12-29,15023.666666666666,32090.04761904762,218.3154761904762,32999.88690476191,1617.6845238095239,172.5,3643.029761904762,661.7619047619048
2020-01-05,12972.102040816326,32026.979591836734,217.81632653061226,30491.836734693876,1618.3265306122448,73.6734693877551,4676.714285714285,654.1632653061224
