"Table 5. Electric power industry generation by primary energy source, 1990 through 2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Natural gas,60998078,50604694,48801987,53611274,62622888,57985151,50160301,44506885,40904843,33284216,20881566,22651167,25037749,18332373,16999125,12201384,9315083,10903840,7215450,8294770,6437809,4619066,4386927,4196069,4653327,4639481,4236745,1880050,3932746,5431845,4681139,4378066,2475689,1730887,1134810,6,23.3,60.8,59.4
..Natural gas - CC,55947349,46520197,44493784,49090022,56743056,53040759,44685965,40973397,36332598,29434546,18296102,20100991,23060360,16706723,13579198,10898352,7779517,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.6,55.1,54.5
..Natural gas - GT,4039376,3190061,3454271,3588773,4774905,3865324,4049042,2519889,3217214,3087961,1844269,2116074,1592842,1335898,3011802,1084024,1260822,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.1,4.6,3.9
..Natural gas - IC,269,93,129,30,2464,3829,3263,3235,4547,675,102,0,0,0,17,12,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0
..Natural gas - ST,1011083,894343,853803,932449,1102462,1075238,1422030,1010365,1350485,761034,741092,434102,384547,289752,408108,218997,274687,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,1.1,1
Nuclear,28945327,29662935,28197337,28571516,30140054,29497516,29251668,30553734,29731895,28060358,30220977,29326231,28723390,25547997,26571899,28212252,27930764,27268475,27593516,27918481,28315294,24816022,27346163,25759130,28321091,28300643,27234399,27084059,26286283,25134831,25428856,22688763,23334340,23886268,23820152,36.7,36.4,29.2,28.2
Other,428413,478301,522940,527592,557208,558317,471227,213322,461826,461553,499767,474767,396689,470239,414121,420042,434205,476945,491019,478834,488023,452936,446923,396806,2476,1828,1987,2261,2333,7689,5621,4026,484,0,0,0,0.6,0.5,0.4
Other biomass,792234,897978,947509,987499,1068997,1081713,1172015,907404,1105805,1103032,1097011,959725,922654,789638,815345,709203,782172,773245,678408,695203,699237,673814,663350,598967,464454,1071609,1059387,1053131,898655,696511,652962,427508,759915,701130,620794,0.6,1.1,1,0.8
Other gas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2959,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Petroleum,204685,134545,651867,340785,230945,257963,950411,456125,535420,1107835,1204907,313288,363968,502646,1292861,1087660,1150360,2096949,839212,4264659,5153612,5780336,3792604,5461605,2938544,3362739,2926114,2770109,1275314,1600678,2890192,2500809,1852865,2353996,1438264,3.8,1.8,0.2,0.2
..Petroleum - GT,139690,61264,333876,138022,59757,47817,395936,214759,207389,288040,517166,87901,84314,98686,245168,193508,148767,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,0.1,0.1
..Petroleum - IC,19554,22492,21843,21029,22360,22014,27602,25833,25309,29582,24160,9022,13324,7242,33895,22108,46673,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0
..Petroleum - OTH,20131,12113,173630,63662,4562,32099,170513,16428,26759,206291,209116,6348,9990,56052,119219,262404,134229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0,0
..Petroleum - ST,25311,38677,122518,118072,144266,156032,356361,199105,275964,583921,454465,210017,256340,340666,894578,609641,820691,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2,0.1,0
Pumped storage,-1532586,-1454881,-1501756,-1038703,-1079536,-1104203,-1291976,-1277795,-1162636,-1036382,-1295354,-1189000,-1365574,-1469539,-1490602,-1334709,-1637688,-1620283,-1167444,-1420823,-1166111,-1498159,-1988835,-2240077,-1340991,-1227757,-955440,-863791,-829603,-768394,-742235,-774085,-664933,-1037665,-833669,-1.7,-2,-1,-1.5
Solar,6998366,5421243,4625769,3267494,1371023,949111,763072,313221,20908,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,3,11,8,11,33,34,0,.,1.3,6.8
..Solar- PV,6998366,5421243,4625769,3267494,1371023,949111,763072,313221,20908,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.3,6.8
Wind,50260,46969,50852,49583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
..Wind - Offshore,50260,46969,50852,49583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
Wood,2595332,2463362,2697788,2606944,2351453,2664679,3001267,2901475,2985941,3041126,2754793,1946217,1435790,1406003,1404304,1708316,1916288,1792326,1780043,1802693,1733120,1587545,1407922,1148106,1677170,1622857,1537190,1409307,1419047,1400767,1395609,1295112,1278975,1193000,1174673,2.2,1.9,2.3,2.5
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Note: Totals may not equal sum of components because of independent rounding.
Data Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
