date,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons
2028-04-01,0.0,741111.4862716987,5141.31390988265,9110.585767357587,755363.385948939
2028-05-01,0.0,848177.6341306056,5013.051495993262,9867.04411618272,863057.7297427816
2028-06-01,0.0,1204065.3821480065,5394.662962134351,10519.984348009431,1219980.0294581503
2028-07-01,0.0,1428733.0557794059,5641.835710307371,11026.829729954901,1445401.7212196682
2028-08-01,0.0,1412438.7327356918,5579.420683138763,10555.310842660818,1428573.4642614913
2028-09-01,0.0,1192231.6611046898,5071.499104934155,8505.45292540627,1205808.61313503
2028-10-01,0.0,880211.7343892079,5716.498331544403,9078.915430831275,895007.1481515836
2028-11-01,0.0,1019447.5559519579,5516.666550775473,7826.03569449545,1032790.2581972289
2028-12-01,0.0,1245413.3954204414,6314.404250930667,8882.339522532444,1260610.1391939046
2029-01-01,0.0,1348916.736928091,6806.920557040573,9719.059934052291,1365442.7174191838
2029-02-01,0.0,1233980.5482887612,6287.7555116072635,9621.764338760555,1249890.068139129
2029-03-01,0.0,1228174.060161086,5590.924832876215,11147.91182564828,1244912.8968196106
2029-04-01,0.0,895907.441416769,6012.490972020131,11275.090778166414,913195.0231669556
2029-05-01,0.0,1021128.0649422029,5834.963497057594,12181.062389212444,1039144.0908284729
2029-06-01,0.0,1437726.548667519,6222.372043088155,13019.340747193095,1456968.2614578002
2029-07-01,0.0,1698790.2397111082,6469.376465169837,13680.267815271365,1718939.8839915495
2029-08-01,0.0,1677727.8817358355,6394.570206068902,13107.740514261084,1697230.1924561656
2029-09-01,0.0,1419065.127474137,5833.084905079633,10620.855926065142,1435519.068305282
2029-10-01,0.0,1052660.9690815946,6618.346629357765,11230.387079427308,1070509.7027903795
2029-11-01,0.0,1214386.7187972576,6360.904700470218,9782.925587846843,1230530.5490855747
2029-12-01,0.0,1475668.453477812,7238.385866716761,11097.782776206024,1494004.6221207348
2030-01-01,0.0,1594007.670840919,7779.98746194926,12115.64709841452,1613903.3054012829
2030-02-01,0.0,1459012.9230550334,7192.169800824253,11947.748868106955,1478152.8417239645
2030-03-01,0.0,1450677.4534478935,6382.8972006795575,13697.468922925584,1470757.8195714988
2030-04-01,0.0,1063781.5557080756,6907.561638062963,13776.02088804501,1084465.1382341837
2030-05-01,0.0,1207817.928846816,6673.387746956965,14850.29285213856,1229341.6094459116
2030-06-01,0.0,1687409.5335872667,7054.0798399400355,15925.385818115708,1710388.9992453223
2030-07-01,0.0,1985881.3889967606,7292.309568007841,16779.25835596521,2009952.9569207337
2030-08-01,0.0,1959554.9425608567,7205.355393882365,16095.961552244667,1982856.2595069837
2030-09-01,0.0,1660936.7136991061,6596.771067889862,13115.29977308274,1680648.7845400788
2030-10-01,0.0,1237873.712202249,7535.599582013831,13733.653915365288,1259142.9656996282
2030-11-01,0.0,1422761.7020897102,7213.8257508981815,12095.930296621365,1442071.4581372296
2030-12-01,0.0,1720204.755048718,8163.452080612934,13718.834956521609,1742087.0420858527
2031-01-01,0.0,1853523.9798848322,8750.14460345603,14945.758492056506,1877219.8829803448
2031-02-01,0.0,1697681.921541576,8096.148246735955,14682.060212790566,1720460.1300011026
2031-03-01,0.0,1686554.7284688554,7172.167225076721,16654.839384576004,1710381.7350785083
2031-04-01,0.0,1243137.3385316767,7811.67855439671,16650.63236135558,1267599.6494474288
2031-05-01,0.0,1406393.8487088003,7514.06292134035,17913.637255842717,1431821.5488859834
2031-06-01,0.0,1950363.5616177141,7874.830245393865,19286.4949232222,1977524.88678633
2031-07-01,0.0,2286661.5601745113,8095.200902726382,20381.714902660457,2315138.475979898
2031-08-01,0.0,2254705.3729459527,7996.927508424728,19576.99442031263,2282279.29487469
2031-09-01,0.0,1915202.071016693,7349.002390499391,16041.562736200945,1938592.6361433933
2031-10-01,0.0,1434000.8638090037,8453.296797675139,16632.848543987566,1459087.0091506664
2031-11-01,0.0,1642401.6508142145,8061.1779773935805,14815.329376625648,1665278.1581682337
2031-12-01,0.0,1976340.8897949976,9073.924301808951,16802.96852193182,2002217.7826187385
2032-01-01,0.0,2124572.220432042,9700.957313052795,18270.009916059455,2152543.1876611547
2032-02-01,0.0,1947400.7447646928,8984.600753949127,17880.62307835189,1974265.9685969937
2032-03-01,0.0,1933293.400112034,7945.510173878715,20070.77768405779,1961309.6879699705
2032-04-01,0.0,1432218.1084539487,8710.661175382376,19941.681362903622,1460870.4509922347
2032-05-01,0.0,1614842.9931576613,8343.511320983125,21416.02841098278,1644602.5328896272
2032-06-01,0.0,2223709.138487872,8670.929459712188,23159.099540787884,2255539.167488372
2032-07-01,0.0,2597722.293763601,8864.33147751105,24551.77231583978,2631138.397556952
2032-08-01,0.0,2559864.8964808914,8755.93033958462,23614.891807694414,2592235.7186281704
2032-09-01,0.0,2179114.265533067,8077.429870323228,19458.455594932773,2206650.1509983228
2032-10-01,0.0,1639072.634605849,9357.447118495122,19977.877917295653,1668407.9596416396
2032-11-01,0.0,1871017.9665208554,8889.745676082268,17997.40654713691,1897905.1187440746
2032-12-01,0.0,2241303.451808932,9955.533020724577,20414.11625096401,2271673.10108062
2033-01-01,0.0,2404182.414946283,10617.593215942601,22155.755617802053,2436955.7637800276
2033-02-01,0.0,2205499.4890442486,9843.824013559211,21605.818004148896,2236949.1310619568
2033-03-01,0.0,2188294.988256898,8690.930040166328,24002.91496632919,2220988.833263393
2033-04-01,0.0,1629162.037243028,9591.328652634606,23698.15709420292,1662451.5229898654
2033-05-01,0.0,1831059.8434537007,9149.37149804301,25408.82825343977,1865618.0432051835
2033-06-01,0.0,2504522.7805952495,9430.214365545547,27606.58689330493,2541559.5818541
2033-07-01,0.0,2915633.589615127,9587.728090674445,29361.138082401776,2954582.4557882035
2033-08-01,0.0,2871700.7623663917,9470.691985685069,28280.949628556184,2909452.403980633
2033-09-01,0.0,2449878.623867554,8771.053490692177,23431.44482190635,2482081.1221801527
2033-10-01,0.0,1851040.8952589326,10235.229049,23825.01953557613,1885101.1438435088
2033-11-01,0.0,2106258.034171353,9687.558429935176,21704.70638124681,2137650.298982535
2033-12-01,0.0,2512285.953120436,10795.59473198009,24622.860516843408,2547704.4083692594
2034-01-01,0.0,2689367.4699988347,11486.978337373675,26677.17748748951,2727531.6258236975
2034-02-01,0.0,2469277.473946206,10661.649353993473,25926.68402746081,2505865.8073276603
2034-03-01,0.0,2448933.034799237,9397.819429736544,28515.644222514136,2486846.4984514876
2034-04-01,0.0,1832042.9414029173,10441.688421763696,27975.473985780827,1870460.1038104617
2034-05-01,0.0,2052888.6752863915,9920.546828346256,29950.030658262636,2092759.2527730004
2034-06-01,0.0,2789882.926072994,10142.118870523427,32699.505846901753,2832724.550790419
2034-07-01,0.0,3237004.418213052,10255.232426900748,34888.76148230473,3282148.412122258
2034-08-01,0.0,3186915.8459640485,10131.27919605807,33653.586709076524,3230700.711869183
2034-09-01,0.0,2724700.4584557926,9420.30474835035,28032.51535385524,2762153.278557998
2034-10-01,0.0,2067815.8510068466,11075.12013118289,28236.91946667548,2107127.890604705
2034-11-01,0.0,2345744.491534694,10443.992152103345,26005.96436117241,2382194.44804797
2034-12-01,0.0,2786491.425768887,11583.078554908965,29506.252069013597,2827580.7563928096
2035-01-01,0.0,2977165.812743408,12297.84289330314,31915.053331463514,3021378.7089681746
2035-02-01,0.0,2736041.889979352,11427.496431147685,30918.737588917887,2778388.1239994173
2035-03-01,0.0,2712587.6849020757,10056.9929854638,33680.06444612553,2756324.742333665
2035-04-01,0.0,2038898.403307129,11251.015063184936,32835.48290390004,2082984.901274214
2035-05-01,0.0,2278153.050200461,10647.258526064781,35104.21266357293,2323904.5213900986
2035-06-01,0.0,3076904.2182622813,10797.673764271218,38515.320976187795,3126217.2130027404
2035-07-01,0.0,3558518.095086922,10858.461885645716,41220.51223337483,3610597.069205942
2035-08-01,0.0,3502282.6261840356,10729.462838311902,39818.00278215327,3552830.0918045007
