date,gas_pct,gas_pct_lower,gas_pct_upper
2029-09-01,62.81991977192386,71.69298375354066,57.303986935366844
2029-10-01,53.056400624241704,54.66130634967379,50.896753864256816
2029-11-01,58.44915455878403,63.413946223415174,54.063684831336786
2029-12-01,60.07453755208968,65.47608024357658,54.54511835442566
2030-01-01,60.06867422289661,65.4505139030415,54.342956164046605
2030-02-01,59.28216842700695,64.95809923913811,54.39827549295539
2030-03-01,59.64216074746213,67.96811928899234,54.908997555713825
2030-04-01,50.72736928411974,50.7447325598516,49.37015448808346
2030-05-01,53.65940935358648,56.57349550266875,51.12335847233719
2030-06-01,60.40563060905127,69.88048508083625,55.10569407064912
2030-07-01,63.31794429057791,73.93932347217826,55.971114610451544
2030-08-01,63.59260047374199,73.80463968690579,56.514953741717676
2030-09-01,62.895700524912066,71.21788642871931,56.90797904867067
2030-10-01,53.2616473562538,55.412749110676216,50.87420467389779
2030-11-01,58.57217112239442,62.32887718192512,53.842750720918275
2030-12-01,60.166555040195824,64.51911438707167,54.28599459086206
2031-01-01,60.15289014405123,64.46869910736318,54.084930901864425
2031-02-01,59.36875965112615,63.9306032136213,54.127542690056295
2031-03-01,59.71326527865746,67.87078131428514,54.60144115928469
2031-04-01,50.92181573510971,52.14121542794869,49.38287885241206
2031-05-01,53.80384081126968,58.43871507966439,51.02286531953337
2031-06-01,60.44039011147463,69.16015925046923,54.75783240792204
2031-07-01,63.298364718862466,73.52618311168916,55.561264074729365
2031-08-01,63.55959314306363,73.38067103303703,56.0621841103566
2031-09-01,62.864933876782736,70.60054708134813,56.424960317712426
2031-10-01,53.37355401026844,53.460536389619975,50.747471807800025
2031-11-01,58.592715541685614,60.96577121391097,53.52879990150085
2031-12-01,60.15224694375848,63.30824096865587,53.9373713947584
2032-01-01,60.12953808781655,63.22224354815311,53.73880640295682
2032-02-01,59.349602372203734,62.628542649234774,53.77054108685908
2032-03-01,59.680001175885714,66.88343487475208,54.21149382519766
2032-04-01,51.02341428789102,49.643217551124756,49.296852799827164
2032-05-01,53.85057951069262,56.46376995654416,50.83082921394709
2032-06-01,60.367173390371434,68.22594678471698,53.98174108373319
2032-07-01,63.163668824270104,72.96763869375899,54.31807690570207
2032-08-01,63.41135966081667,72.81135899567953,54.4978475177188
2032-09-01,62.72055410807733,69.79448032284107,54.666168535763006
2032-10-01,53.38562355873577,50.99146309516047,50.535059957530905
2032-11-01,58.503947932807584,59.23294185396717,52.79939156357724
2032-12-01,60.02469165823053,61.75807676565422,52.845852899837496
2033-01-01,59.99170724061518,61.62006049331454,52.64273937205514
2033-02-01,59.21787269936322,60.95714928882167,52.55644537732918
2033-03-01,59.53553549898785,65.60012530624239,52.4401441264555
2033-04-01,51.0258552111546,46.434399977066725,49.12816181827223
2033-05-01,53.793176978253776,53.906700602477144,50.528795361444146
2033-06-01,60.17922107931736,66.99891672143136,52.180059507129116
2033-07-01,62.90694072992699,72.20781711617211,52.48111190009623
2033-08-01,63.14102417201608,72.04174537611992,52.63558337851555
2033-09-01,62.45574470091514,68.73098671758633,52.783923895354604
2033-10-01,53.29153534965735,47.81039475045185,49.742379063919664
2033-11-01,58.29932340704115,56.9930981668032,51.017957910682135
2033-12-01,59.7773109075254,59.73989769322022,51.049202050635564
2034-01-01,59.73286256413767,59.523544984561006,50.84700553093292
2034-02-01,58.96710044658591,58.77210458557719,50.754570373870436
2034-03-01,59.27341824764986,63.902789029848925,50.63418373989632
2034-04-01,50.923104197613455,42.21778337940219,48.242182210293386
2034-05-01,53.625504076766326,50.513628451520646,48.82746936330486
2034-06-01,59.870172714979034,65.35602223843954,50.35557736565104
2034-07-01,62.521802223712875,71.1585317119604,50.62351650359358
2034-08-01,62.74223367447268,70.98569835386222,50.75469255101057
2034-09-01,62.06420752890113,67.30324651717432,50.88370176231008
2034-10-01,53.08536564616049,43.60806528194883,48.040706346889586
2034-11-01,57.972797897123385,54.0302273473373,49.21824214407725
2034-12-01,59.40408574362548,57.049398183945435,49.23579580033294
2035-01-01,59.34705750711794,56.710175284526834,49.03574828633346
2035-02-01,58.59138667418762,55.84150054195302,48.93843060332019
2035-03-01,58.887741278631346,61.60014284813199,48.8151577290734
2035-04-01,50.70956894761694,36.493550751495654,46.57772782115949
2035-05-01,53.341935639862335,45.856035320277364,47.11232785401119
2035-06-01,59.43429535492811,63.093382790859124,48.52187872127798
2035-07-01,62.00260896404581,69.67100239117715,48.75887151629921
2035-08-01,62.2093773921624,69.49922516917533,48.86866067701447
2035-09-01,61.540369040203935,65.33498979692406,48.97922895855693
2035-10-01,52.761769834737926,37.86288160096435,46.32933876020095
2035-11-01,57.51903500878805,49.98324916382254,47.41275870473988
2035-12-01,58.89977168846025,53.341164915717485,47.41803013821065
2036-01-01,58.829152987308085,52.7981506279877,47.22109884422559
2036-02-01,58.08561768553812,51.7669585961673,47.119977843674135
2036-03-01,58.373356887347136,58.35988954871747,46.99482450642831
2036-04-01,50.3802903953609,28.36183521083407,44.90758814290309
2036-05-01,52.9375508200179,39.1487644906088,45.39400627882456
2036-06-01,58.86670158347641,59.84614319721546,46.69016297437898
2036-07-01,61.34468947419292,67.4721670270123,46.89834396450961
2036-08-01,61.53782269149721,67.32126378324035,46.98855319150967
2036-09-01,60.879614389274685,62.512582195587015,47.08170962314195
2036-10-01,52.316189130746714,29.620728772211653,44.61815959849865
2036-11-01,56.933630511405966,44.19935582296603,45.61178263188973
