date,electricity_gwh,dc_energy_baseline_gwh,dc_energy_ai_gwh,dc_energy_adjusted_gwh,ai_multiplier,coal_pct,gas_pct,nuclear_pct,renewable_pct,renewable_share,intensity_factor,carbon_intensity,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons,grid_stress_pct,stress_penalty_pts,grid_stress_adjusted_pct
2031-06-01,27195.721468891777,6798.930367222944,13619.925803155236,13648.36745815689,2.0032453735393028,0.0,73.49937709191043,16.059429830861262,10.441193077228302,0.10441193077228302,1.0020882386154457,0.6735826324426396,0.0,4564316.604556948,10959.249975004044,21375.785972936363,4596651.640504888,50.18571569711351,0.7592857848556754,50.945001481969186
2031-07-01,27174.817018620168,6793.704254655042,13664.90322821919,13693.474040119301,2.011406843160122,0.0,73.48555499888279,16.06036002775634,10.454084973360873,0.10454084973360872,1.0020908169946723,0.6734608119846174,0.0,4578540.055639371,10996.106155752555,21472.911179387756,4611009.072974511,50.39030816927503,0.7695154084637515,51.159823577738784
2031-08-01,27154.388445877878,6788.597111469469,13710.261341099327,13738.96181479313,2.0196015636184343,0.0,73.47189050752345,16.061323710732164,10.46678578174439,0.1046678578174439,1.0020933571563488,0.67334037172406,0.0,4592895.116553046,11033.295657839035,21570.415526850877,4625498.827737736,50.59573277511521,0.7797866387557605,51.37551941387097
2031-09-01,27134.163155388454,6783.540788847114,13755.865281872495,13784.69545053893,2.0278296703822654,0.0,73.45846389301632,16.062308491826688,10.479227615157,0.10479227615157001,1.0020958455230313,0.6732220205601782,0.0,4607341.616284863,11070.70153962181,21667.944184772492,4640080.262009257,50.80199220296016,0.7900996101480079,51.59209181310816
2031-10-01,27114.321309600444,6778.580327400111,13801.808427388429,13830.767991593139,2.0360912994715576,0.0,73.44545154085293,16.0633275597025,10.491220899444569,0.10491220899444569,1.002098244179889,0.6731073080475652,0.0,4621921.851361968,11108.407832560462,21765.246331315637,4654795.505525843,51.00908790475991,0.8004543952379954,51.8095422999979
2031-11-01,27094.639727841,6773.65993196025,13847.979512917558,13877.068952097707,2.0443865874604144,0.0,73.43256808600631,16.064297087352415,10.503134826641276,0.10503134826641275,1.0021006269653283,0.672993739739385,0.0,4636581.088498992,11146.267917408592,21862.908930371967,4669590.265346772,51.217027026339736,0.8108513513169868,52.02787837765672
2031-12-01,27075.600585833352,6768.900146458338,13894.627409313958,13923.847457091413,2.052715671479359,0.0,73.41990759700849,16.065219669567718,10.514872733423813,0.10514872733423813,1.0021029745466847,0.6728821429197612,0.0,4651408.551309945,11184.483402186273,21961.12259563845,4684554.157307769,51.42581200720152,0.8212906003600762,52.2471026075616
2032-01-01,27057.106829708864,6764.276707427216,13941.706569649234,13971.057977606437,2.0610786892176005,0.0,73.40766499024762,16.065858996729144,10.526476013023242,0.10526476013023242,1.0021052952026046,0.6727742801148333,0.0,4666401.483286542,11222.852375167642,22059.901001674676,4699684.236663384,51.63544670735503,0.8317723353677515,52.46721904272278
2032-02-01,27029.60509508755,6757.401273771888,13984.278264549976,14013.759480261813,2.0694757789253124,0.0,73.39310596340428,16.066051257968624,10.540842778627091,0.10540842778627091,1.0021081685557254,0.6726461222263641,0.0,4679735.671886351,11257.288906336504,22157.5253128402,4713150.486105528,51.84596456723195,0.8422982283615976,52.68826279559355
2032-03-01,27002.88763191332,6750.72190797833,14027.37284375629,14056.984667076928,2.077907079415916,0.0,73.37853238561694,16.066453624783033,10.555013989600043,0.10555013989600043,1.00211100279792,0.6725177942684725,0.0,4693238.116099373,11292.294612893882,22255.75047188854,4726786.161184155,52.05733867685952,0.8528669338429762,52.9102056107025
2032-04-01,26976.830960731197,6744.207740182799,14070.931115033458,14100.673542735747,2.086372730068376,0.0,73.36419347226479,16.06705757319252,10.568748954542698,0.10568748954542699,1.0021137497909085,0.6723914910412916,0.0,4706904.665547224,11327.81668159639,22353.97181447045,4740586.454043291,52.26956999975787,0.8634784999878935,53.13304849974576
2032-05-01,26950.95494881799,6737.738737204498,14114.706091306734,14144.579257615136,2.094872870829503,0.0,73.34993971814706,16.06777606170863,10.582284220144311,0.10582284220144311,1.0021164568440288,0.6722659143073523,0.0,4720643.363275037,11363.596599922446,22452.29368176618,4754459.253556726,52.48266447135851,0.8741332235679256,53.356797694926435
2032-06-01,26925.72184457236,6731.43046114309,14158.942275015761,14188.946211351997,2.1034076422162693,0.0,73.33598823781288,16.068610017672448,10.595401744514673,0.10595401744514672,1.0021190803489028,0.6721429744892189,0.0,4734549.785705147,11399.832161597311,22550.63781608757,4768500.255682832,52.696623300415546,0.8848311650207773,53.58145446543632
2032-07-01,26901.11312549348,6725.27828137337,14203.634295176082,14233.769173322911,2.11197718531813,0.0,73.32232578662047,16.069516638855546,10.60815757452399,0.1060815757452399,1.0021216315149049,0.6720225635944891,0.0,4748621.425265619,11436.489528217086,22649.109940501723,4782707.024734338,52.91145056683153,0.8955725283415767,53.80702309517311
2032-08-01,26876.69344292756,6719.17336073189,14248.55567683534,14278.821634202855,2.1205816417993577,0.0,73.30884992874158,16.070439434347758,10.620710636910664,0.10620710636910663,1.002124142127382,0.6719037914860564,0.0,4762776.165151758,11473.346913315574,22747.684921939253,4796997.196987012,53.127151464981424,0.9063575732490712,54.03350903823049
2032-09-01,26852.576634388926,6713.144158597232,14293.768551674708,14324.16566227657,2.1292211539013803,0.0,73.29563941221025,16.071366744363623,10.632993843426126,0.10632993843426126,1.0021265987686852,0.6717873534785774,0.0,4777039.909746592,11510.44598327335,22846.3147948804,4811396.670524745,53.34372882463813,0.9171864412319064,54.26091526587003
2032-10-01,26828.94998334287,6707.237495835718,14339.375304198538,14369.903313765491,2.137895864445137,0.0,73.28286901646389,16.072312461346232,10.644818522189876,0.10644818522189876,1.002128963704438,0.671674784852613,0.0,4791458.227564768,11547.878804908682,22944.751943467287,4825950.858313144,53.56118417861022,0.928059208930511,54.48924338754073
2032-11-01,26805.270258713947,6701.317564678487,14385.087934918676,14415.747025746106,2.146605916833437,0.0,73.27025337608835,16.073193474519183,10.656553149392476,0.10656553149392475,1.0021313106298786,0.6715635910146737,0.0,4805916.7391781425,11585.354551227081,23043.326155208983,4840545.419884578,53.7795250210536,0.9389762510526801,54.71850127210628
