datetime_utc,respondent,demand_mwh
2019-01-11T02,PJM,113846.0
2019-01-11T03,PJM,110511.0
2019-01-11T04,PJM,105103.0
2019-01-11T05,PJM,100417.0
2019-01-11T06,PJM,97807.0
2019-01-11T07,PJM,97026.0
2019-01-11T08,PJM,96920.0
2019-01-11T09,PJM,97544.0
2019-01-11T10,PJM,99387.0
2019-01-11T11,PJM,102677.0
2019-01-11T12,PJM,110207.0
2019-01-11T13,PJM,115478.0
2019-01-11T14,PJM,114086.0
2019-01-11T15,PJM,110918.0
2019-01-11T16,PJM,108318.0
2019-01-11T17,PJM,105819.0
2019-01-11T18,PJM,103751.0
2019-01-11T19,PJM,102949.0
2019-01-11T20,PJM,101821.0
2019-01-11T21,PJM,101386.0
2019-01-11T22,PJM,102695.0
2019-01-11T23,PJM,108349.0
2019-01-12T00,PJM,110151.0
2019-01-12T01,PJM,109061.0
2019-01-12T02,PJM,107540.0
2019-01-12T03,PJM,105087.0
2019-01-12T04,PJM,101257.0
2019-01-12T05,PJM,97426.0
2019-01-12T06,PJM,94583.0
2019-01-12T07,PJM,92830.0
2019-01-12T08,PJM,91702.0
2019-01-12T09,PJM,91294.0
2019-01-12T10,PJM,92057.0
2019-01-12T11,PJM,93992.0
2019-01-12T12,PJM,95968.0
2019-01-12T13,PJM,99170.0
2019-01-12T14,PJM,101543.0
2019-01-12T15,PJM,102555.0
2019-01-12T16,PJM,102342.0
2019-01-12T17,PJM,101442.0
2019-01-12T18,PJM,100108.0
2019-01-12T19,PJM,99335.0
2019-01-12T20,PJM,99701.0
2019-01-12T21,PJM,100678.0
2019-01-12T22,PJM,101783.0
2019-01-12T23,PJM,105629.0
2019-01-13T00,PJM,106614.0
2019-01-13T01,PJM,105261.0
2019-01-13T02,PJM,103641.0
2019-01-13T03,PJM,101700.0
2019-01-13T04,PJM,99117.0
2019-01-13T05,PJM,95716.0
2019-01-13T06,PJM,92644.0
2019-01-13T07,PJM,90780.0
2019-01-13T08,PJM,89747.0
2019-01-13T09,PJM,89240.0
2019-01-13T10,PJM,89671.0
2019-01-13T11,PJM,90732.0
2019-01-13T12,PJM,92786.0
2019-01-13T13,PJM,93613.0
2019-01-13T14,PJM,95624.0
2019-01-13T15,PJM,97884.0
2019-01-13T16,PJM,98751.0
2019-01-13T17,PJM,98851.0
2019-01-13T18,PJM,98957.0
2019-01-13T19,PJM,98381.0
2019-01-13T20,PJM,98195.0
2019-01-13T21,PJM,98642.0
2019-01-13T22,PJM,100822.0
2019-01-13T23,PJM,105555.0
2019-01-14T00,PJM,107643.0
2019-01-14T01,PJM,106280.0
2019-01-14T02,PJM,105021.0
2019-01-14T03,PJM,101616.0
2019-01-14T04,PJM,97762.0
2019-01-14T05,PJM,94406.0
2019-01-14T06,PJM,92670.0
2019-01-14T07,PJM,91517.0
2019-01-14T08,PJM,91718.0
2019-01-14T09,PJM,92147.0
2019-01-14T10,PJM,94007.0
2019-01-14T11,PJM,98375.0
2019-01-14T12,PJM,106414.0
2019-01-14T13,PJM,111897.0
2019-01-14T14,PJM,112813.0
2019-01-14T15,PJM,111911.0
2019-01-14T16,PJM,110092.0
2019-01-14T17,PJM,107992.0
2019-01-14T18,PJM,106308.0
2019-01-14T19,PJM,104778.0
2019-01-14T20,PJM,103549.0
2019-01-14T21,PJM,103325.0
2019-01-14T22,PJM,105643.0
2019-01-14T23,PJM,111589.0
2019-01-15T00,PJM,114533.0
2019-01-15T01,PJM,113914.0
2019-01-15T02,PJM,112311.0
2019-01-15T03,PJM,108784.0
2019-01-15T04,PJM,103719.0
2019-01-15T05,PJM,99593.0
2019-01-15T06,PJM,97962.0
2019-01-15T07,PJM,97412.0
2019-01-15T08,PJM,96909.0
2019-01-15T09,PJM,97427.0
2019-01-15T10,PJM,98485.0
2019-01-15T11,PJM,102888.0
2019-01-15T12,PJM,110799.0
2019-01-15T13,PJM,115659.0
2019-01-15T14,PJM,114828.0
2019-01-15T15,PJM,111631.0
2019-01-15T16,PJM,108851.0
2019-01-15T17,PJM,106789.0
2019-01-15T18,PJM,105222.0
2019-01-15T19,PJM,104193.0
2019-01-15T20,PJM,103468.0
2019-01-15T21,PJM,103551.0
2019-01-15T22,PJM,105903.0
2019-01-15T23,PJM,111443.0
2019-01-16T00,PJM,113753.0
2019-01-16T01,PJM,113390.0
2019-01-16T02,PJM,111891.0
2019-01-16T03,PJM,108731.0
2019-01-16T04,PJM,103801.0
2019-01-16T05,PJM,99962.0
2019-01-16T06,PJM,98362.0
2019-01-16T07,PJM,97402.0
2019-01-16T08,PJM,96769.0
2019-01-16T09,PJM,95928.0
2019-01-16T10,PJM,97039.0
2019-01-16T11,PJM,100703.0
2019-01-16T12,PJM,108578.0
2019-01-16T13,PJM,113284.0
2019-01-16T14,PJM,112049.0
2019-01-16T15,PJM,109610.0
2019-01-16T16,PJM,107776.0
2019-01-16T17,PJM,105833.0
2019-01-16T18,PJM,104144.0
2019-01-16T19,PJM,103052.0
2019-01-16T20,PJM,102876.0
2019-01-16T21,PJM,103020.0
2019-01-16T22,PJM,104439.0
2019-01-16T23,PJM,108281.0
2019-01-17T00,PJM,109942.0
2019-01-17T01,PJM,108975.0
2019-01-17T02,PJM,107324.0
2019-01-17T03,PJM,103751.0
2019-01-17T04,PJM,98693.0
2019-01-17T05,PJM,95322.0
2019-01-17T06,PJM,93044.0
2019-01-17T07,PJM,91723.0
2019-01-17T08,PJM,91230.0
2019-01-17T09,PJM,91509.0
2019-01-17T10,PJM,93562.0
2019-01-17T11,PJM,96268.0
2019-01-17T12,PJM,104400.0
2019-01-17T13,PJM,109613.0
2019-01-17T14,PJM,109026.0
2019-01-17T15,PJM,107513.0
2019-01-17T16,PJM,106267.0
2019-01-17T17,PJM,105195.0
2019-01-17T18,PJM,104863.0
