nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
Total electric industry,102698615.0,91059344.0,89477325.0,93478182.0,103056001.0,96827639.0,95509121.0,90417149.0,92554876.0,84411592,77137438,76896565,70739235,66670859,72966456,70082066,72678531,78360507,73069537,78943045,78900040,75309420,75005651,74104744,77189371,73897608,72199443,68515334,66895125,62996021,62048926,61243511,56352355,54729096,52564458,100,100,100.0,100.0
Battery,-6741.0,-1513.0,-91.0,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.0
Coal,1972109.0,1415027.0,3346073.0,3248473.0,3762795.0,3418111.0,9266276.0,10726422.0,16499412.0,17231426,20818584,21160501,14180795,19881113,25459221,25599288,31776356,35420746,34288141,35424875,35656006,37093331,38082381,37769916,39761317,35444523,34875766,34159932,32481847,28497065,26590655,29410002,26225034,24821392,23899901,51.5,34.9,3.7,1.9
Hydroelectric,1253138.0,1390685.0,1137050.0,1305725.0,2030174.0,1519283.0,1764860.0,1116355.0,1471462.0,1158428,955188,1253670,1043774,1210389,1500182,1478630,1010993,1248264,1351194,1484353,1583050,1781569,868216,1014222,711984,681686,1283296,1020276,1428502,995026,1146116,1313303,1089975,1080055,1309499,0.9,2.1,2.0,1.2
Natural gas,60998078.0,50604694.0,48801987.0,53611274.0,62622888.0,57985151.0,50160301.0,44506885.0,40904843.0,33284216,20881566,22651167,25037749,18332373,16999125,12201384,9315083,10903840,7215450,8294770,6437809,4619066,4386927,4196069,4653327,4639481,4236745,1880050,3932746,5431845,4681139,4378066,2475689,1730887,1134810,6,23.3,60.8,59.4
..Natural gas - CC,55947349.0,46520197.0,44493784.0,49090022.0,56743056.0,53040759.0,44685965.0,40973397.0,36332598.0,29434546,18296102,20100991,23060360,16706723,13579198,10898352,7779517,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.6,55.1,54.5
..Natural gas - GT,4039376.0,3190061.0,3454271.0,3588773.0,4774905.0,3865324.0,4049042.0,2519889.0,3217214.0,3087961,1844269,2116074,1592842,1335898,3011802,1084024,1260822,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.1,4.6,3.9
..Natural gas - IC,269.0,93.0,129.0,30.0,2464.0,3829.0,3263.0,3235.0,4547.0,675,102,0,0,0,17,12,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Natural gas - ST,1011083.0,894343.0,853803.0,932449.0,1102462.0,1075238.0,1422030.0,1010365.0,1350485.0,761034,741092,434102,384547,289752,408108,218997,274687,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,1.1,1.0
Other,428413.0,478301.0,522940.0,527592.0,557208.0,558317.0,471227.0,213322.0,461826.0,461553,499767,474767,396689,470239,414121,420042,434205,476945,491019,478834,488023,452936,446923,396806,2476,1828,1987,2261,2333,7689,5621,4026,484,0,0,0,0.6,0.5,0.4
Other biomass,792234.0,897978.0,947509.0,987499.0,1068997.0,1081713.0,1172015.0,907404.0,1105805.0,1103032,1097011,959725,922654,789638,815345,709203,782172,773245,678408,695203,699237,673814,663350,598967,464454,1071609,1059387,1053131,898655,696511,652962,427508,759915,701130,620794,0.6,1.1,1.0,0.8
Petroleum,204685.0,134545.0,651867.0,340785.0,230945.0,257963.0,950411.0,456125.0,535420.0,1107835,1204907,313288,363968,502646,1292861,1087660,1150360,2096949,839212,4264659,5153612,5780336,3792604,5461605,2938544,3362739,2926114,2770109,1275314,1600678,2890192,2500809,1852865,2353996,1438264,3.8,1.8,0.2,0.2
..Petroleum - GT,139690.0,61264.0,333876.0,138022.0,59757.0,47817.0,395936.0,214759.0,207389.0,288040,517166,87901,84314,98686,245168,193508,148767,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,0.1,0.1
..Petroleum - IC,19554.0,22492.0,21843.0,21029.0,22360.0,22014.0,27602.0,25833.0,25309.0,29582,24160,9022,13324,7242,33895,22108,46673,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.0,0.0
..Petroleum - OTH,20131.0,12113.0,173630.0,63662.0,4562.0,32099.0,170513.0,16428.0,26759.0,206291,209116,6348,9990,56052,119219,262404,134229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.0,0.0
..Petroleum - ST,25311.0,38677.0,122518.0,118072.0,144266.0,156032.0,356361.0,199105.0,275964.0,583921,454465,210017,256340,340666,894578,609641,820691,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2,0.1,0.0
Solar,6998366.0,5421243.0,4625769.0,3267494.0,1371023.0,949111.0,763072.0,313221.0,20908.0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,3,11,8,11,33,34,0,.,1.3,6.8
..Solar- PV,6998366.0,5421243.0,4625769.0,3267494.0,1371023.0,949111.0,763072.0,313221.0,20908.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.3,6.8
Wood,2595332.0,2463362.0,2697788.0,2606944.0,2351453.0,2664679.0,3001267.0,2901475.0,2985941.0,3041126,2754793,1946217,1435790,1406003,1404304,1708316,1916288,1792326,1780043,1802693,1733120,1587545,1407922,1148106,1677170,1622857,1537190,1409307,1419047,1400767,1395609,1295112,1278975,1193000,1174673,2.2,1.9,2.3,2.5
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Note: Totals may not equal sum of components because of independent rounding.
Data Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
