nan,year_2024,year_2023,year_2022,year_2021,year_2020,year_2019,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008,year_2007,year_2006,year_2005,year_2004,year_2003,year_2002,year_2001,year_2000,year_1999,year_1998,year_1997,year_1996,year_1995,year_1994,year_1993,year_1992,year_1991,year_1990,percent_share_2000,percent_share_2010,percent_share_2020,percent_share_2024
..Petroleum - GT,347.0,343.8,346.4,347.5,348.1,350.8,351.5,352.6,350.9,351.4,352,348.9,347.3,348.6,345.1,338,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.4,1.2,1.2
..Petroleum - IC,31.0,28.6,37.6,37.6,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,41.4,41.4,42.6,43.8,43.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.1,0.1
Solar,3104.0,2313.2,1698.3,1342.7,718.7,332.6,331.3,307.3,80.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.6,10.6
..Solar- PV,3104.0,2313.2,1698.3,1342.7,718.7,332.6,331.3,307.3,80.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.6,10.6
Wood,336.7,343.7,343.7,342.6,342.6,342.6,342.1,342.1,342.1,342.1,342.1,342.1,280.4,280.4,247.9,326.1,339.1,335,330,330,404,404,414,402,354,424,424,396,429,399,433,349,349,349,340,1.8,1,1.2,1.2
Total electric industry,29146.5,28218.2,29169.2,28515.3,27942.6,28044.7,29634.8,27660.1,26621.6,25181.6,26292.4,24827.8,24848.6,24684.9,24109,23788,23475.6,22992,22648,22599,22481,21171,20202,20086,19625,18727,18749,18732,18373,17627,17096,17038,16933,15488,15065,100,100,100.0,100.0
Battery,70.5,70.5,10.5,,,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,0.2
Coal,1530.1,1530.1,2536.0,2536.0,2878.7,2878.9,3780.0,3778.0,3800.4,4379.3,5541.9,5554.1,5976.3,5848.1,5867.9,5777.2,5773.4,5794,5774,5783,5795,5733,6117,6137,6385,6205,6221,6249,6218,6376,5111,5111,5130,4672,4598,32.5,24.3,10.3,5.2
Hydroelectric,866.6,866.6,866.6,866.0,866.0,866.0,866.0,866.0,866.0,866,866,866,866.2,866.2,866.2,715.9,676.7,675,671,672,782,780,757,758,762,759,764,761,762,763,786,787,781,782,778,3.9,3.6,3.1,3.0
Natural gas,13712.9,13726.5,13803.6,13706.2,14492.1,13693.0,14552.0,12621.4,11800.2,9893.2,9755,8270.7,8167.6,8162.6,7580.6,7535.8,7350.8,6869,6809,6828,6754,5558,4191,3707,3526,2955,2955,2226,2670,2800,2205,2139,1810,833,661,18,31.4,51.9,47.0
